Camanche Bridge,38.26,-120.89,,23.7,,mbtcbt
Chalk Bluffs,39.1,-120.83,,20.1,,mbtcbt
Cherokee Site 1,39.64,-121.54,,17.1,,mbtcbt
China Gulch,38.26,-120.89,,24.5,,mbtcbt
Council Hill,39.59,-120.99,,14.8,,mbtcbt
Fiona Hill,39.1,-120.85,,12.5,,mbtcbt
Gold Bug,39.37,-120.92,,17.3,,mbtcbt
Gulf Coastal Plain USA,31.66,-88.1,16.3,21.3,26.3,mbtcbt
Hidden Gold Camp,39.16,-120.86,,11.1,,mbtcbt
iodp 1356,-63.18,,18.65,20.11,21.58,mbtcbt
Iowa Hill ,39.11,-120.85,,19.1,,mbtcbt
midwaipara,-43.07,172.74,19.87,20.79,21.71,mbtcbt
Mountain Boy,39.66,-120.95,,7.8,,mbtcbt
odp 1172,-43.57,149.55,21.55,21.95,22.35,mbtcbt
Pentz,39.65,-121.56,,22.6,,mbtcbt
Pine Grove 1 ,39.72,-120.9,,14.9,,mbtcbt
Scotts Flat,39.27,-120.91,,15.1,,mbtcbt
Woolsey Flat,39.42,-120.86,,13.5,,mbtcbt
You Bet 2 ,39.21,-120.88,,15.1,,mbtcbt
